,Acidity,Aftertaste,Aroma,Bag Weight,Balance,Body,Category.One.Defects,Category.Two.Defects,Clean Cup,Color,Company,Country of Origin,Cupper Points,Expiration,Farm Name,Flavor,Grading Date,Harvest Year,ICO Number,In-Country Partner,Mill,Moisture,Number of Bags,Processing Method,Producer,Region,Species,Sweetness,Uniformity,Variety,altitude_high_meters,altitude_low_meters,altitude_mean_meters,quality_score
19,8.17,8.0,8.17,60 kg,8.33,8.08,0,8,10.0,,essence coffee,Ethiopia,8.33,"March 24th, 2016",Drima Zede,8.17,"March 25th, 2015",2014,100181006,Blossom Valley International,drima zede,0.0,250,Natural / Dry,LevelUp,gedio,Arabica,10.0,10.0,Ethiopian Yirgacheffe,2000.0,1700.0,1850.0,87.25
20,8.5,8.08,8.0,1 kg,8.0,8.25,0,0,10.0,None,coffee quality institute,United States,8.17,"March 12th, 2016",El Rodeo,8.25,"March 13th, 2015",2014,unknown,Almacafé,,0.0,10,Washed / Wet,Nicolás Rueda Urrego,antioquia,Arabica,10.0,10.0,Other,2019.0,2019.0,2019.0,87.25
21,8.17,8.0,8.08,3 lbs,8.33,8.0,0,2,10.0,Green,the coffee source inc.,Costa Rica,8.33,"April 2nd, 2015",SEVERAL,8.25,"April 2nd, 2014",2014,5-562-0015,Specialty Coffee Association,cafe altura de san ramon,0.11,250,Washed / Wet,SEVERAL,san ramon,Arabica,10.0,10.0,Caturra,1300.0,1300.0,1300.0,87.17
22,8.0,8.17,8.17,1 kg,8.17,7.83,0,0,10.0,Green,,Mexico,8.58,"July 26th, 2013",LA HERRADURA,8.25,"July 26th, 2012",2012,0,AMECAFE,la herradura,0.13,14,Washed / Wet,ROBERTO LICONA FRANCO,xalapa,Arabica,10.0,10.0,Other,1320.0,1320.0,1320.0,87.17
23,8.17,8.17,8.25,1 kg,8.17,7.83,0,0,10.0,,coffee quality institute,United States,8.17,"March 12th, 2016",La curva,8.33,"March 13th, 2015",2014,unknown,Almacafé,,0.0,10,Washed / Wet,Silvia Elena Higuita,antioquia,Arabica,10.0,10.0,Other,2112.0,2112.0,2112.0,87.08
24,8.17,7.92,8.42,60 kg,8.0,8.33,0,1,10.0,Bluish-Green,,Ethiopia,8.08,"September 3rd, 2014",,8.17,"September 3rd, 2013",2013,,Specialty Coffee Institute of Asia,,0.11,100,Natural / Dry,,sidamo,Arabica,10.0,10.0,,,,,87.08
25,8.0,8.0,8.5,60 kg,8.0,8.0,0,2,10.0,Green,nucoffee,Brazil,7.92,"December 2nd, 2012",Fazenda Kaquend,8.5,"December 3rd, 2011",2011,002/1251/0073,NUCOFFEE,,0.12,3,Natural / Dry,Ralph Junqueira,south of minas,Arabica,10.0,10.0,Bourbon,1250.0,1250.0,1250.0,86.92
26,8.17,8.08,7.83,6,8.17,8.17,0,2,10.0,,,Ethiopia,8.25,"June 16th, 2011",,8.25,"June 16th, 2010",2009/2010,010/0056/Sidamo,Ethiopia Commodity Exchange,,0.05,150,,Green Gold Ethiopia | Phone: 0114342032,sidamo,Arabica,10.0,10.0,,,,,86.92
27,8.17,8.17,8.42,60 kg,7.92,7.83,0,1,10.0,Green,kabum trading company,Uganda,8.17,"June 26th, 2015",Chebonet (23) women coffee,8.17,"June 26th, 2014",2013,0,Uganda Coffee Development Authority,kabum trading company,0.12,100,Washed / Wet,Kabum trading company,kapchorwa eastern,Arabica,10.0,10.0,SL14,1950.0,1950.0,1950.0,86.83
28,8.0,8.08,8.17,69 kg,8.0,8.08,0,3,10.0,Green,cigrah s.a de c.v,Honduras,8.25,"May 18th, 2018",Los Hicaques,8.08,"May 18th, 2017",2016,13-111-053,Instituto Hondureño del Café,cigrah s.a de c.v.,0.1,275,,Reinerio Zepeda,comayagua,Arabica,10.0,10.0,Caturra,1400.0,1400.0,1400.0,86.67
29,8.25,8.0,8.0,50 kg,8.17,8.0,0,0,10.0,Green,taiwan coffee laboratory,Taiwan,8.17,"May 18th, 2017",Tsoustructive Garden 鄒築園,8.0,"May 18th, 2016",2015,Taiwan,Specialty Coffee Association,tsoustructive garden 鄒築園,0.0,20,Pulped natural / honey,"FANG,ZHENG-LUN 方政倫","leye, alishan township, chiayi county",Arabica,10.0,10.0,Sumatra,1200.0,1200.0,1200.0,86.58
30,8.33,8.0,7.92,6,8.08,8.0,0,2,10.0,,,Nicaragua,8.0,"May 18th, 2011",,8.25,"May 18th, 2010",,790-0013,Specialty Coffee Association,beneficio atlantic condega,0.08,275,,,,Arabica,10.0,10.0,,,,,86.58
31,8.0,8.17,8.42,60 kg,8.0,7.58,0,1,10.0,Bluish-Green,,"Tanzania, United Republic Of",8.17,"September 3rd, 2014",,8.17,"September 3rd, 2013",2012,A019116,Specialty Coffee Institute of Asia,,0.11,100,Natural / Dry,,,Arabica,10.0,10.0,,,,,86.5
32,7.75,8.0,8.5,60 kg,8.0,8.0,0,2,10.0,Green,nucoffee,Brazil,8.0,"December 2nd, 2012",Fazenda Recreio,8.17,"December 3rd, 2011",2011,002/1251/0068,NUCOFFEE,,0.12,29,Natural / Dry,Homero Texeira de Macedo Junior,vale da grama,Arabica,10.0,10.0,Bourbon,1300.0,1300.0,1300.0,86.42
33,8.08,8.0,8.17,2 lbs,8.0,7.83,0,0,10.0,Blue-Green,exclusive coffees s.a.,Costa Rica,8.42,"December 2nd, 2016",Exclusive Coffees S.A.,7.83,"December 3rd, 2015",2015/2016,5818009,Specialty Coffee Association of Costa Rica,"exclusive coffees s.a,",0.0,250,Washed / Wet,Exclusive Coffees S.A.,west and central valley,Arabica,10.0,10.0,Caturra,1300.0,1300.0,1300.0,86.33
34,8.0,7.92,8.0,60 kg,8.08,8.08,0,3,10.0,Green,haider abamecha coffee export,Ethiopia,8.08,"March 26th, 2016",Haider Abamecha Coffee Plantation,8.08,"March 27th, 2015",2014,2014/15,METAD Agricultural Development plc,faysal abamecha processing plant at yebu town,0.1,320,Natural / Dry,Haider Abamecha Abadiko,oromia,Arabica,10.0,10.0,,1800.0,1750.0,1775.0,86.25
35,8.25,8.0,8.08,1 kg,7.92,7.92,0,1,10.0,Blue-Green,c dorman ltd,Kenya,8.08,"May 30th, 2015",Kangunu,8.0,"May 30th, 2014",2013,0,Kenya Coffee Traders Association,central kenya coffee mills,0.12,320,Washed / Wet,Kangunu,muranga,Arabica,10.0,10.0,SL34,1800.0,1800.0,1800.0,86.25
36,7.92,8.0,8.08,100 lbs,7.83,7.92,1,4,10.0,,kona pacific farmers cooperative,United States (Hawaii),8.33,"April 6th, 2013",,8.17,"April 6th, 2012",2012,220452,Specialty Coffee Association,,0.0,10,Natural / Dry,,kona,Arabica,10.0,10.0,Hawaiian Kona,,,,86.25
37,7.75,8.08,8.25,100 lbs,7.83,7.67,2,1,10.0,,,United States (Hawaii),8.25,"January 28th, 2012",Kona Pacific Farmers Co-Op,8.42,"January 28th, 2011",2010,HDOA 210128 Kona Fancy,Specialty Coffee Association,,0.0,25,,Kona Pacific Farmers Co-Op,kona,Arabica,10.0,10.0,,,,,86.25
38,8.08,8.08,7.92,6,8.17,8.08,0,2,10.0,,,Ethiopia,8.17,"June 17th, 2011","Phone number | 0911-51-08-01, Email | at",7.75,"June 17th, 2010",2009/2010,010/0170,Ethiopia Commodity Exchange,,0.1,300,,Contact name | ATO Teshome Belamo,yirgacheffe,Arabica,10.0,10.0,,,,,86.25
39,8.0,8.0,7.67,1 kg,8.08,8.17,0,0,10.0,,coffee quality institute,United States,8.08,"March 12th, 2016",La Primavera,8.17,"March 13th, 2015",2014,unknown,Almacafé,,0.0,10,Washed / Wet,Hugo Sepúlveda Montoya,antioquia,Arabica,10.0,10.0,Other,1941.0,1941.0,1941.0,86.17
40,8.25,7.83,7.83,1 kg,7.92,7.58,1,9,10.0,Green,lanna cafe,Thailand,8.42,"April 12th, 2013",Co-op #12,8.33,"April 12th, 2012",2012,01-011-512,Specialty Coffee Association,,0.1,53,Washed / Wet,ITDP,chiang rai,Arabica,10.0,10.0,Caturra,1300.0,1300.0,1300.0,86.17
41,7.75,7.92,8.17,60 kg,8.0,8.33,0,2,10.0,,,Brazil,8.08,"January 4th, 2012",Pereira Estate Coffee,7.92,"January 4th, 2011",2010,002/1352/0045,Specialty Coffee Association,cocarive,0.08,300,,Maria Rogeria Costa Pereira,sul de minas - carmo de minas,Arabica,10.0,10.0,Yellow Bourbon,12.0,12.0,12.0,86.17
42,7.75,8.0,8.42,60 kg,8.0,7.92,0,3,10.0,,,Brazil,8.17,"January 4th, 2012",Pereira Estate Coffee,7.92,"January 4th, 2011",2010,002/1352/0045,Specialty Coffee Association,cocarive,0.01,300,,Maria Rogeria Costa Pereira,sul de minas - carmo de minas,Arabica,10.0,10.0,Yellow Bourbon,12.0,12.0,12.0,86.17
43,8.08,7.75,8.08,15 kg,7.83,7.75,0,0,10.0,Green,taiwan coffee laboratory,Taiwan,8.42,"June 9th, 2016",Sunshine Valley Estate 向陽高山咖啡,8.17,"June 10th, 2015",2015,Taiwan,Specialty Coffee Association,sunshine valley estate 向陽高山咖啡,0.12,10,Semi-washed / Semi-pulped,LIN YEN CHIEN 林言謙,natou county,Arabica,10.0,10.0,Bourbon,1000.0,1000.0,1000.0,86.08
44,8.0,8.0,8.08,60 kg,8.08,7.83,0,2,10.0,Bluish-Green,keremara limited,Kenya,8.0,"January 29th, 2016",JUNGLE ESTATE,8.08,"January 29th, 2015",2014,NIL,Kenya Coffee Traders Association,nkg coffee mills,0.11,12,Natural / Dry,JUNGLE ESTATE,nyeri,Arabica,10.0,10.0,SL28,1754.0,1754.0,1754.0,86.08
45,8.0,8.0,8.33,60 kg,8.0,7.75,0,2,10.0,Blue-Green,nucoffee,Brazil,8.0,"December 2nd, 2012",Fazenda Kaquend,8.0,"December 3rd, 2011",2011,002/1251/0071,NUCOFFEE,,0.11,7,Semi-washed / Semi-pulped,Ralph Junqueira,south of minas,Arabica,10.0,10.0,Bourbon,1250.0,1250.0,1250.0,86.08
46,7.92,7.83,8.08,60 kg,7.92,8.08,0,0,10.0,,ucda,Uganda,8.08,"October 1st, 2015",Kaasayi,8.08,"October 1st, 2014",2014,0,Uganda Coffee Development Authority,great lakes coffee,0.0,1,Semi-washed / Semi-pulped,Kaasay Farmer Group,eastern uganda,Arabica,10.0,10.0,,,,,86.0
47,8.08,7.83,7.75,2 kg,8.17,8.08,1,1,10.0,Green,lusso coffee lab,Colombia,8.17,"March 20th, 2015",Ecobio Colombia,7.92,"March 20th, 2014",2013,NONE,Specialty Coffee Association,,0.12,1,Washed / Wet,,tolima,Arabica,10.0,10.0,Caturra,1500.0,900.0,1200.0,86.0
48,8.5,7.83,7.92,1 kg,7.92,7.5,0,1,10.0,Green,lusso coffee lab,Kenya,8.17,"February 6th, 2015",KIANJAVI,8.17,"February 6th, 2014",2013,NONE,Specialty Coffee Association,,0.11,1,Washed / Wet,,kiambu,Arabica,10.0,10.0,SL28,2200.0,1520.0,1860.0,86.0
49,8.08,7.83,8.25,60 kg,7.92,8.0,0,0,10.0,Blue-Green,kawacom uganda ltd,Uganda,7.92,"February 12th, 2013",,8.0,"February 13th, 2012",2012,x,Africa Fine Coffee Association,,0.1,1,Washed / Wet,Kawacom,"sipi, mt elgon",Arabica,10.0,10.0,Other,1900.0,1400.0,1650.0,86.0
50,8.25,8.0,7.75,6,8.0,8.0,0,4,10.0,,,Ethiopia,7.92,"June 17th, 2011",Contact | sidacoop@ethionet.net,8.08,"June 17th, 2010",2009/2010,010/0145,Ethiopia Commodity Exchange,coffee processing and warehouse enterpri,0.01,300,,Sidama Coffee Farmers Coop. Union,sidamo,Arabica,10.0,10.0,,2000.0,1500.0,1750.0,86.0
51,8.0,7.75,8.33,2,7.83,7.75,0,0,10.0,,,United States (Hawaii),8.17,"May 31st, 2011",Hula Daddy Kona Coffee,8.17,"May 31st, 2010",Fall 2009,,Specialty Coffee Association,,0.0,1,,Hula Daddy Kona Coffee,kona,Arabica,10.0,10.0,,426.72,426.72,426.72,86.0
52,8.08,7.92,7.92,69 kg,7.83,8.08,0,3,10.0,Green,"unex guatemala, s.a.",Guatemala,8.0,"May 16th, 2017",LA ESPERANZA Y ANEXOS,8.08,"May 16th, 2016",2016,11/23/0252,Asociacion Nacional Del Café,beneficio ixchel,0.1,80,Washed / Wet,MARGARITA AVILA DE NUYENS,nuevo oriente,Arabica,10.0,10.0,Bourbon,,,,85.92
53,8.08,7.92,8.17,60 kg,7.75,7.83,0,0,10.0,Green,kawacom uganda ltd,Uganda,8.0,"June 30th, 2015",Sipi organic coffee project,8.17,"June 30th, 2014",2013,0,Uganda Coffee Development Authority,kawacom,0.12,1,Natural / Dry,Kawacom (U)Ltd,eastern,Arabica,10.0,10.0,SL14,1900.0,1400.0,1650.0,85.92
54,8.17,8.0,8.0,70 kg,8.0,7.83,1,0,10.0,Blue-Green,exportadora de cafe condor s.a,Colombia,7.92,"July 26th, 2014",,8.0,"July 26th, 2013",2013,3-68-0215,Almacafé,trilladora boananza,0.0,275,Washed / Wet,,huila,Arabica,10.0,10.0,Caturra,1800.0,1800.0,1800.0,85.92
55,8.08,7.92,8.0,60 kg,8.0,7.83,0,0,10.0,Bluish-Green,ce specialty s.a.,Panama,8.0,"October 9th, 2018",La Berlina Estate,8.0,"October 9th, 2017",2017,,Specialty Coffee Association of Costa Rica,beneficio casa ruiz s.a.,0.08,37,Washed / Wet,Plinio Ruiz,boquete,Arabica,10.0,10.0,Gesha,1600.0,1600.0,1600.0,85.83
56,8.08,7.92,7.83,60 kg,7.92,8.0,0,4,10.0,Green,ibrahim hussien specality coffee product & exporter,Ethiopia,8.0,"April 3rd, 2016",,8.08,"April 4th, 2015",2014,2014/2015,METAD Agricultural Development plc,burka gudina,0.1,320,Washed / Wet,Ibrahim Hussien Specialty Coffee Producer and Exporter,oromia,Arabica,10.0,10.0,,2000.0,1800.0,1900.0,85.83
57,8.17,8.0,7.83,1 kg,8.0,7.83,0,3,10.0,Green,sertrasa,Guatemala,8.0,"July 3rd, 2013",VALPARAISO,8.0,"July 3rd, 2012",2012,11/1886/03,Asociacion Nacional Del Café,beneficio valparaiso,0.12,150,Washed / Wet,SERTRASA,acatenango,Arabica,10.0,10.0,Bourbon,1524.0,1524.0,1524.0,85.83
58,8.33,7.83,8.0,1 kg,7.83,7.83,0,1,10.0,Bluish-Green,unicafe,Guatemala,8.0,"June 5th, 2013",FINCA EL LIMON,8.0,"June 5th, 2012",2012,11-853-155,Asociacion Nacional Del Café,beneficio serben,0.1,275,Washed / Wet,WILLIAM ESTUARDO MARTINEZ PACHECO,nuevo oriente,Arabica,10.0,10.0,Catuai,1417.32,1417.32,1417.32,85.83
59,8.17,7.83,7.83,19200 kg,8.0,7.92,0,7,10.0,None,seid damtew coffee planation,Ethiopia,8.0,"June 23rd, 2018",seid damtew coffee export and plantation,8.0,"June 23rd, 2017",2017,490,METAD Agricultural Development plc,seid damtew coffee export and plantation,0.09,320,Natural / Dry,seid damtew coffee export and plantation,addis ababa,Arabica,10.0,10.0,Caturra,,,,85.75
60,8.08,8.0,8.0,5 lbs,7.75,7.92,4,6,10.0,Green,sustainable harvest,Peru,8.0,"January 22nd, 2015",,8.0,"January 22nd, 2014",2013,030-0537-2066,Specialty Coffee Association,,0.1,280,Washed / Wet,,cajamarca,Arabica,10.0,10.0,,,,,85.75
61,8.33,7.83,8.33,60 kg,8.25,8.0,0,1,9.33,Bluish-Green,cqi,Papua New Guinea,7.92,"October 25th, 2013",Tairora Cherry – Bonta,8.42,"October 25th, 2012",2012,25072012,Specialty Coffee Association,baroida,0.12,7,Washed / Wet,"Colbran CoffeeLands, Ltd.",eastern highlands province,Arabica,10.0,9.33,,1700.0,1700.0,1700.0,85.75
62,7.92,8.0,7.92,2 kg,7.83,7.75,0,3,10.0,Blue-Green,atlantic specialty coffee,El Salvador,8.0,"March 18th, 2014",El Majahual,8.17,"March 18th, 2013",2013,09 – 060-24,Specialty Coffee Association,j. hill y cia,0.1,275,Washed / Wet,Aida Batlle,apaneca,Arabica,10.0,10.0,Bourbon,1500.0,1500.0,1500.0,85.58
63,7.75,8.0,7.83,1 kg,8.17,7.92,0,0,10.0,None,lusso coffee lab,El Salvador,7.92,"January 12th, 2014",Finca La Esmeralda,8.0,"January 12th, 2013",2012,,Specialty Coffee Association,"aqua caliente, j.j. borja nathan. s.a",0.11,19,Semi-washed / Semi-pulped,Oscar Roberto Murgas Linares,"ataco, apaneca - ilamatepec mountain range",Arabica,10.0,10.0,Bourbon,1400.0,1300.0,1350.0,85.58
64,7.75,7.92,7.83,100 lbs,8.0,8.08,0,1,10.0,,kona pacific farmers cooperative,United States (Hawaii),8.0,"April 6th, 2013",,8.0,"April 6th, 2012",2012,220451,Specialty Coffee Association,,0.0,8,Natural / Dry,,kona,Arabica,10.0,10.0,Hawaiian Kona,,,,85.58
65,7.83,7.83,8.0,60 kg,8.58,7.67,2,2,10.0,,essence coffee,Panama,7.83,"May 22nd, 2016",Elida Estate,7.75,"May 23rd, 2015",2014,290503,Blossom Valley International,elida estate,0.09,100,Natural / Dry,Lamastus,boquete,Arabica,10.0,10.0,Caturra,1680.0,1680.0,1680.0,85.5
66,8.08,7.83,7.92,60 kg,7.92,7.83,0,3,10.0,Green,essence coffee,Kenya,8.0,"May 22nd, 2016",Inoi,7.92,"May 23rd, 2015",2014,3707361715,Blossom Valley International,inoi,0.1,16,Natural / Dry,,kirinyaga,Arabica,10.0,10.0,SL28,1900.0,1900.0,1900.0,85.5
67,7.92,7.83,7.83,60 kg,8.08,7.83,0,7,10.0,Green,assefa belay coffee producer,Ethiopia,8.0,"March 30th, 2016",,8.0,"March 31st, 2015",2015,2015,METAD Agricultural Development plc,,0.12,320,Natural / Dry,Assefa Belay Coffee Producer,oromia,Arabica,10.0,10.0,Other,2000.0,1800.0,1900.0,85.5
68,7.92,7.67,8.33,60 kg,7.92,7.67,0,1,10.0,Green,kyagalanyi coffee ltd,Uganda,8.08,"June 26th, 2015",Buginyanya,7.92,"June 26th, 2014",2013,0,Uganda Coffee Development Authority,kyagalanyi coffee ltd,0.12,320,Washed / Wet,Kyagalanyi coffee Ltd,bulambuli eastern region,Arabica,10.0,10.0,SL14,1600.0,1600.0,1600.0,85.5
69,8.33,7.67,8.0,69 kg,8.0,7.83,0,1,10.0,Green,exportcafe,Guatemala,7.83,"February 26th, 2014",ASOPERC,7.83,"February 26th, 2013",2013,11-52-492,Asociacion Nacional Del Café,beneficio exportacafe agua santa,0.11,250,Washed / Wet,ASOCIACION DE PERMACULTORES DE CUILCO (SANTOS LOPEZ MEJIA),huehuetenango,Arabica,10.0,10.0,Bourbon,1755.648,1706.88,1731.264,85.5
70,8.17,7.83,7.75,60 kg,7.83,7.92,0,18,10.0,Green,assefa belay coffee producer,Ethiopia,8.08,"March 30th, 2016",,7.83,"March 31st, 2015",2015,2015,METAD Agricultural Development plc,,0.1,320,Washed / Wet,Assefa Belay Coffee Producer,oromia,Arabica,10.0,10.0,,2000.0,1800.0,1900.0,85.42
71,7.67,7.83,8.08,60 kg,7.83,8.0,0,5,10.0,Green,great lakes coffee,Uganda,8.0,"June 26th, 2015",Chesiyo farmer group,8.0,"June 26th, 2014",2013,0,Uganda Coffee Development Authority,great lakes coffee,0.12,150,Washed / Wet,Chesiyo Farmer group,kapchorwa,Arabica,10.0,10.0,SL14,1950.0,1950.0,1950.0,85.42
72,7.92,7.75,7.92,100 lbs,7.92,7.75,4,6,10.0,,kona pacific farmers cooperative,United States (Hawaii),8.25,"April 6th, 2013",,7.92,"April 6th, 2012",2012,220453,Specialty Coffee Association,,0.0,8,Natural / Dry,,kona,Arabica,10.0,10.0,Hawaiian Kona,,,,85.42
73,7.67,8.0,8.0,60 kg,8.0,7.75,0,1,10.0,Blue-Green,nucoffee,Brazil,8.0,"December 2nd, 2012",Fazenda Serra de Três Barras,8.0,"December 3rd, 2011",2011,002/1251/0072,NUCOFFEE,,0.11,5,Semi-washed / Semi-pulped,José Vagner Ribeiro Junqueira,south of minas,Arabica,10.0,10.0,Bourbon,1250.0,1250.0,1250.0,85.42
74,8.08,7.83,8.08,"1 kg,lbs",7.83,7.83,0,0,10.0,,,El Salvador,7.92,"May 31st, 2011",Sierra Nevada,7.83,"May 31st, 2010",2009 / 2010,9-060-60D-L-1D,Specialty Coffee Association,beneficio las tres puertas,0.01,2,,J. Hill y Cia SA de CV,apaneca,Arabica,10.0,10.0,,1400.0,1400.0,1400.0,85.42
75,7.83,8.0,8.0,60 kg,7.75,7.83,0,0,10.0,Green,yunnan coffee exchange,China,7.92,"April 6th, 2017",Pu'er City Longke Coffee Co.Ltd,8.0,"April 6th, 2016",2015,,Yunnan Coffee Exchange,pu'er city longke coffee co.ltd,0.1,3,Natural / Dry,Pu'er City Longke Coffee Co.Ltd,yunnan,Arabica,10.0,10.0,Catimor,1700.0,1700.0,1700.0,85.33
